Route,Flight_Count,Total_Emissions,Average_Distance,Emissions_per_Flight
BCN/VCE,3,584.9741052730399,545.3333333333334,194.99136842434663
BCN/VIE,1,281.25026191376105,242.0,281.25026191376105
BDB/BNE/CBR/BNE/BDB,1,510.2824963511715,720.1,510.2824963511715
BDB/BNE/MEL/BNE/BDB,4,2056.3327022648896,578.99,514.0831755662224
BDB/BNE/SYD/BNE/BDB,1,425.6760720856923,723.9,425.6760720856923
BDL/DEN/ABQ,2,1335.856120629168,633.0,667.928060314584
BEG/DXB/MEL,1,3527.5245066717634,1258.0,3527.5245066717634
BEG/FRA/SCQ/ZRH/BEG,1,1110.9857786032046,715.0,1110.9857786032046
BEG/MUC/MAN,1,388.33026762475816,269.0,388.33026762475816
BER/AMS/NTE,1,271.0049527253631,208.0,271.0049527253631
BER/ARN,1,165.57741623830114,42.0,165.57741623830114
BER/BRU,1,196.80515291844108,532.0,196.80515291844108
BER/DOH/MEL,1,3673.2690603101396,1020.0,3673.2690603101396
BER/DOH/MEL/DOH/BER,4,29386.152482481117,1969.5,7346.538120620279
BER/DOH/MEL_SIN/DOH/BER,1,6055.812780830293,2092.0,6055.812780830293
BER/FRA/BCN,1,313.30816485810277,477.0,313.30816485810277
BER/LCY,1,203.58420838880937,247.0,203.58420838880937
BER/LHR,1,293.9684022182256,823.0,293.9684022182256
BER/LHR/MEL,1,0.0,0.0,0.0
BER/LHR/SIN/MEL,3,4012.1341887447757,570.6666666666666,1337.3780629149253
BER/LHR/SYD/AKL,1,4522.059301970857,1038.0,4522.059301970857
BER/PEK,1,2666.7660756860455,515.0,2666.7660756860455
BER/VIE,1,109.06296877971931,187.0,109.06296877971931
BER/VIE/BEG/VIE/BER,1,409.812367535915,184.0,409.812367535915
BGO/FRA/SIN/MEL,1,0.0,0.0,0.0
BGO/OSL/DUS,1,277.6148296211037,194.0,277.6148296211037
BHD/LHR/DOH/MEL/DOH/LHR/BHD,2,7951.215276162127,868.0,3975.6076380810637
BHD/LHR/SCL,1,7919.037028789193,8325.0,7919.037028789193
BHX/DXB/SIN/MEL/DXB/BHX,1,7858.633127945194,1236.0,7858.633127945194
BKK/CNX/BKK,6,707.9178155338144,182.66666666666666,117.98630258896907
BKK/CNX/BKK/VTE/BKK,1,662.2964340026127,643.0,662.2964340026127
BKK/DEL,1,599.8463282884561,311.0,599.8463282884561
BKK/HAN,3,597.8633652197341,122.66666666666667,199.28778840657802
BKK/HAN/SGN/MEL,1,1980.7516632193203,815.0,1980.7516632193203
BKK/HEL/ARN/HEL/BKK,1,3722.814975566858,1570.0,3722.814975566858
BKK/HKG/POM/BUA/POM/MNL/BKK,2,0.0,187.5,0.0
BKK/HND_LAX/SLC_HND/LAX_SLC/LAX/NRT/BKK,1,6442.415579439286,2611.0,6442.415579439286
BKK/ICN,1,753.8564599592114,533.0,753.8564599592114
BKK/MEL,14,19777.077655811205,618.9921428571428,1412.6484039865147
BKK/MEL/BKK,10,23173.745677518276,1074.69,2317.3745677518277
BKK/MEL_SYD/BKK,4,13385.35339767637,1572.25,3346.3383494190925
BKK/NRT/BKK,1,2074.4187584856713,546.0,2074.4187584856713
BKK/NRT_HND/BKK,1,2074.7804075021436,649.0,2074.7804075021436
BKK/PBH,6,791.8632521097196,454.5,131.97720868495327
BKK/PBH/BKK,2,866.511043467864,611.5,433.255521733932
BKK/PEK,1,678.1733695029819,234.0,678.1733695029819
BKK/PNH,1,109.06296877971931,173.0,109.06296877971931
BKK/PVG,1,590.2620067896323,67.0,590.2620067896323
BKK/SIN,1,296.45297877396433,130.0,296.45297877396433
BKK/SIN/BKK,1,592.9059575479287,463.0,592.9059575479287
BKK/SIN/MEL,1,1681.6679265966477,933.0,1681.6679265966477
BKK/SIN/VTE,1,677.5123818134078,493.0,677.5123818134078
BKK/SYD,1,0.0,4964.52,0.0
BKK/SYD/BKK,2,3382.1416020498596,458.5,1691.0708010249298
BKK/SYD/MEL,3,5362.208492676355,1894.3333333333333,1787.4028308921181
BKK/TFU/MEL_SYD/TFU/KTM,1,4731.815731524846,1991.0,4731.815731524846
BKK/VTE,5,211.51606066369806,71.6,42.30321213273961
BKK/VTE/BKK,2,411.1343429150631,375.5,205.56717145753154
BKK/VTE/ZVK/VTE,4,0.0,29.25,0.0
BLQ/DXB/MEL/DXB/BLQ,1,7355.217697015617,2016.0,7355.217697015617
BLQ/FCO,2,0.0,0.0,0.0
BLQ/MUC/LCA,1,568.7799068784756,350.0,568.7799068784756
BLR/BKK/KIX,9,4488.425943438924,213.0,498.713993715436
BLR/BOM/MEL,1,175.49223158191202,895.0,175.49223158191202
BLR/DEL,1,356.9333523699905,133.0,356.9333523699905
BLR/GOI/BLR,1,206.2281591471056,135.0,206.2281591471056
BLR/KUL/MEL,2,4136.5414504112805,875.0,2068.2707252056402
BLR/MAA,4,334.9563297428102,192.6475,83.73908243570256
BLR/MAA/LKO/BLR,1,1006.1075638262095,640.24,1006.1075638262095
BLR/PNQ,2,0.0,0.0,0.0
BLR/PNQ/BLR/SYD/MEL,1,0.0,0.0,0.0
BLR/SIN/CGK,1,914.2487136422204,738.0,914.2487136422204
BLR/SIN/MEL,2,0.0,152.5,0.0
BLR/SIN/MEL/SIN/BLR,1,4140.157940576004,2726.0,4140.157940576004
BLR/SYD/HBA/MEL/SYD/BLR,1,4754.961268579081,1846.0,4754.961268579081
BLR/SYD/MEL,1,2271.155823446655,864.0,2271.155823446655
BLZ/ADD/KGL/ADD/BLZ,1,1944.948410588553,678.0,1944.948410588553
BLZ/ADD/LHR,1,1953.6279869838904,456.0,1953.6279869838904
BLZ/JNB,1,0.0,0.0,0.0
BLZ/JNB/BLZ,12,3343.2757338655774,224.16666666666666,278.60631115546477
BME/DRW,3,800.4492389171394,530.0033333333333,266.8164129723798
BME/MEL,2,0.0,49.5,0.0
BME/MEL/PER/BME,2,1683.4761716790097,708.205,841.7380858395048
BME/PER,1,344.37458626808336,341.04,344.37458626808336
BME/PER/ADL/PER/BME,1,1705.536761683826,2099.5,1705.536761683826
BME/PER/KTA,1,601.1683036676044,461.22,601.1683036676044
